27486	123	65
27487	50	137
27494	51	222
27503	55	322
27516	54	392
27485	240	64
27488	181	124
27495	151	210
27504	183	263
27513	147	341
27517	200	402
27484	345	62
27489	288	124
27496	239	207
27505	281	262
27514	309	359
27497	328	207
27483	445	70
27490	401	123
27498	427	206
27506	406	263
27518	382	400
27491	505	122
27499	528	203
27507	484	262
27515	469	347
27519	537	397
27482	567	68
27492	612	117
27500	610	202
27508	565	261
27481	668	62
27480	770	60
27493	731	126
27501	748	188
27509	690	255
27510	801	259
27502	858	188
27479	967	116
27520	950	185
27511	911	254
27512	1016	255
27521	1029	185
27478	1073	123
